category,item,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fibre,sugar,protein,vitamin_a,vitamin_c,calcium,iron
APPETIZERS & SALADS,Shrimp  Tempura,60,180,8,0,0,40,125,18,0,0,8,0,0,0,0
APPETIZERS & SALADS,Three  salads,120,130,3.5,0,0,60,790,13,4,8,8,2,6,40,8
APPETIZERS & SALADS,Wakame  ,125,110,2,0,0,0,1650,13,4,9,0,0,0,110,0
APPETIZERS & SALADS,Miso  soup,255,70,3,0.5,0,0,810,8,1,1,6,0,0,20,25
APPETIZERS & SALADS,Grilled  salmon  salad  ,276,260,19,2.5,0,30,340,12,3,6,12,80,80,8,8
APPETIZERS & SALADS,Green  salad,123,150,14,1,0,0,400,8,1,5,2,30,10,2,4
APPETIZERS & SALADS,Spicy  squid  salad,110,120,3,0,0,170,320,12,0,12,12,0,2,2,6
APPETIZERS & SALADS,Tataki  tuna  salad  ,276,250,17,2.5,0.1,30,340,12,3,6,14,80,80,8,8
APPETIZERS & SALADS,Yasai  salad  ,258,200,15,1,0,5,890,13,3,9,3,80,25,25,6
APPETIZERS & SALADS,Edamame  beans,135,170,5,0,0,0,440,15,7,2,13,8,15,8,20
APPETIZERS & SALADS,Fruit  bowl,207,110,0.5,0.1,0,0,3,28,4,20,2,8,140,4,4
SMALL  RAMEN  SOUP,Miso,290,240,9,2,0,50,820,24,2,2,15,0,4,20,15
SMALL  RAMEN  SOUP,Miso  with  Grilled  Chicken,330,320,15,2.5,0,70,895,30,2,2,18,4,12,20,17
SMALL  RAMEN  SOUP,Miso  with  Seafood,340,300,10.5,2.3,0,90,990,26,2,2,24,2,4,22,19
SMALL  RAMEN  SOUP,Miso  with  Shrimp  Tempura,310,300,11.5,2,0,65,860,30,2,2,18,0,4,20,15
SMALL  RAMEN  SOUP,Shoyu,290,140,3,0.5,0,50,200,18,1,0,8,2,4,4,4
SMALL  RAMEN  SOUP,Shoyu  with  Grilled  Chicken,330,220,9,1,0,70,275,24,1,0,11,6,12,4,6
SMALL  RAMEN  SOUP,Shoyu  with  Seafood,340,200,4.5,0.8,0,90,370,20,1,0,17,4,4,6,8
SMALL  RAMEN  SOUP,Shoyu  with  Shrimp  Tempura,310,200,5.5,0.5,0,65,240,24,1,0,11,2,4,4,4
